,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:45:49,Karnataka,1247997,1037857,13885,196236,
1,2021-04-23 20:15:42,Karnataka,1274959,1046554,14075,214311,26962.0
2,2021-04-24 20:33:13,Karnataka,1304397,1055612,14283,234483,29438.0
3,2021-04-25 20:10:49,Karnataka,1339201,1062594,14426,262162,34804.0
4,2021-04-26 22:21:24,Karnataka,1368945,1073257,14627,281042,29744.0
5,2021-04-27 20:13:15,Karnataka,1400775,1084050,14807,301899,31830.0
6,2021-04-28 19:33:32,Karnataka,1439822,1095883,15036,328884,39047.0
7,2021-04-29 18:58:16,Karnataka,1474846,1110025,15306,349496,35024.0
8,2021-04-30 19:42:33,Karnataka,1523142,1124909,15523,382690,48296.0
9,2021-05-01 20:09:03,Karnataka,1564132,1143250,15794,405068,40990.0
10,2021-05-02 20:10:20,Karnataka,1601865,1164398,16011,421436,37733.0
11,2021-05-03 20:10:39,Karnataka,1646303,1185299,16250,444734,44438.0
12,2021-05-04 20:36:37,Karnataka,1690934,1210013,16538,464363,44631.0
13,2021-05-05 22:16:09,Karnataka,1741046,1236854,16884,487288,50112.0
14,2021-05-06 21:41:14,Karnataka,1790104,1255797,17212,517075,49058.0
15,2021-05-07 20:31:56,Karnataka,1838885,1284420,17804,536641,48781.0
16,2021-05-08 22:22:46,Karnataka,1886448,1319301,18286,548841,47563.0
17,2021-05-09 20:08:26,Karnataka,1934378,1351097,18776,564485,47930.0
18,2021-05-10 19:44:03,Karnataka,1973683,1383285,19372,571006,39305.0
19,2021-05-12 10:40:24,Karnataka,2013193,1405869,19852,587452,39510.0
20,2021-05-12 20:45:37,Karnataka,2053191,1440621,20368,592182,39998.0
21,2021-05-13 22:30:16,Karnataka,2088488,1474678,20712,593078,35297.0
22,2021-05-14 19:40:14,Karnataka,2130267,1510557,21085,598605,41779.0
23,2021-05-15 19:44:42,Karnataka,2171931,1544982,21434,605494,41664.0
24,2021-05-16 20:47:24,Karnataka,2203462,1581457,21837,600147,31531.0
25,2021-05-17 20:35:03,Karnataka,2242065,1616092,22313,603639,38603.0
26,2021-05-18 19:50:36,Karnataka,2272374,1674487,22838,575028,30309.0
27,2021-05-19 20:42:44,Karnataka,2306655,1724438,23306,558890,34281.0
28,2021-05-23 14:39:15,Karnataka,2398925,1891042,24658,483204,92270.0
29,2021-05-23 20:40:40,Karnataka,2424904,1926615,25282,472986,25979.0
30,2021-05-24 21:15:40,Karnataka,2450215,1983948,25811,440435,25311.0
31,2021-05-25 19:57:28,Karnataka,2472973,2022172,26399,424381,22758.0
32,2021-05-26 21:45:09,Karnataka,2499784,2062910,26929,409924,26811.0
33,2021-05-27 20:48:55,Karnataka,2523998,2094369,27405,402203,24214.0
34,2021-05-28 21:23:26,Karnataka,2546821,2146621,27806,372373,22823.0
35,2021-05-29 20:56:08,Karnataka,2567449,2189064,28298,350066,20628.0
36,2021-05-30 20:15:58,Karnataka,2587827,2217117,28679,342010,20378.0
37,2021-05-31 20:53:38,Karnataka,2604431,2261590,29090,313730,16604.0
38,2021-06-01 19:38:22,Karnataka,2618735,2290861,29554,298299,14304.0
39,2021-06-03 12:48:25,Karnataka,2635122,2312060,30017,293024,16387.0
40,2021-06-03 21:00:20,Karnataka,2653446,2336096,30531,286798,18324.0
41,2021-06-04 21:19:03,Karnataka,2669514,2358412,30895,280186,16068.0
42,2021-06-05 20:40:42,Karnataka,2683314,2383758,31260,268275,13800.0
43,2021-06-06 20:51:51,Karnataka,2695523,2409417,31580,254505,12209.0
44,2021-06-07 20:39:11,Karnataka,2707481,2436716,31920,238824,11958.0
