,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:45:40,Maharashtra,4094840,3330747,62479,699858,
1,2021-04-23 21:15:53,Maharashtra,4161676,3404792,63252,691851,66836.0
2,2021-04-24 21:13:41,Maharashtra,4228836,3468610,63928,694480,67160.0
3,2021-04-25 21:41:40,Maharashtra,4295027,3530060,64760,698354,66191.0
4,2021-04-26 20:44:24,Maharashtra,4343727,3601796,65284,674770,48700.0
5,2021-04-27 22:30:55,Maharashtra,4410085,3669548,66179,672434,66358.0
6,2021-04-28 22:32:33,Maharashtra,4473394,3730729,67214,673481,63309.0
7,2021-04-29 20:42:40,Maharashtra,4539553,3799266,67985,670301,66159.0
8,2021-04-30 22:26:23,Maharashtra,4602472,3868976,68813,662640,62919.0
9,2021-05-01 21:12:25,Maharashtra,4665754,3930302,69615,663758,63282.0
10,2021-05-02 20:30:03,Maharashtra,4722401,3981658,70284,668353,56647.0
11,2021-05-03 20:10:34,Maharashtra,4771022,4041158,70851,656870,48621.0
12,2021-05-04 21:12:12,Maharashtra,4822902,4107092,71742,641910,51880.0
13,2021-05-05 22:16:03,Maharashtra,4880542,4164098,72662,641596,57640.0
14,2021-05-06 21:41:09,Maharashtra,4942736,4227940,73515,639075,62194.0
15,2021-05-07 22:24:59,Maharashtra,4996758,4265326,74413,654788,54022.0
16,2021-05-08 21:00:11,Maharashtra,5052612,4347435,75265,627658,55854.0
17,2021-05-08 21:12:03,Maharashtra,5053336,4347592,75277,628213,724.0
18,2021-05-09 20:29:59,Maharashtra,5101737,4407818,75849,615783,48401.0
19,2021-05-10 20:12:38,Maharashtra,5138814,4468442,76390,556896,37077.0
20,2021-05-10 20:34:18,Maharashtra,5138973,4469425,76398,590818,159.0
21,2021-05-12 10:40:16,Maharashtra,5179929,4541391,77191,558996,40956.0
22,2021-05-12 20:16:55,Maharashtra,5226710,4600196,78007,546129,46781.0
23,2021-05-13 21:14:42,Maharashtra,5269292,4654731,78857,533294,42582.0
24,2021-05-14 21:29:59,Maharashtra,5309215,4707980,79552,519254,39923.0
25,2021-05-15 21:15:43,Maharashtra,5342839,4766152,80471,493750,33624.0
26,2021-05-15 21:44:41,Maharashtra,5344063,4767053,80512,494032,1224.0
