,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:45:40,Maharashtra,4094840,3330747,62479,699858,
1,2021-04-23 21:15:53,Maharashtra,4161676,3404792,63252,691851,66836.0
2,2021-04-24 21:13:41,Maharashtra,4228836,3468610,63928,694480,67160.0
3,2021-04-25 21:41:40,Maharashtra,4295027,3530060,64760,698354,66191.0
4,2021-04-26 20:44:24,Maharashtra,4343727,3601796,65284,674770,48700.0
5,2021-04-27 22:30:55,Maharashtra,4410085,3669548,66179,672434,66358.0
6,2021-04-28 22:32:33,Maharashtra,4473394,3730729,67214,673481,63309.0
7,2021-04-29 20:42:40,Maharashtra,4539553,3799266,67985,670301,66159.0
8,2021-04-30 22:26:23,Maharashtra,4602472,3868976,68813,662640,62919.0
9,2021-05-01 21:12:25,Maharashtra,4665754,3930302,69615,663758,63282.0
10,2021-05-02 20:30:03,Maharashtra,4722401,3981658,70284,668353,56647.0
11,2021-05-03 20:10:34,Maharashtra,4771022,4041158,70851,656870,48621.0
12,2021-05-04 21:12:12,Maharashtra,4822902,4107092,71742,641910,51880.0
13,2021-05-05 22:16:03,Maharashtra,4880542,4164098,72662,641596,57640.0
14,2021-05-06 21:41:09,Maharashtra,4942736,4227940,73515,639075,62194.0
15,2021-05-07 22:24:59,Maharashtra,4996758,4265326,74413,654788,54022.0
16,2021-05-08 21:00:11,Maharashtra,5052612,4347435,75265,627658,55854.0
17,2021-05-08 21:12:03,Maharashtra,5053336,4347592,75277,628213,724.0
18,2021-05-09 20:29:59,Maharashtra,5101737,4407818,75849,615783,48401.0
19,2021-05-10 20:12:38,Maharashtra,5138814,4468442,76390,556896,37077.0
20,2021-05-10 20:34:18,Maharashtra,5138973,4469425,76398,590818,159.0
21,2021-05-12 10:40:16,Maharashtra,5179929,4541391,77191,558996,40956.0
22,2021-05-12 20:16:55,Maharashtra,5226710,4600196,78007,546129,46781.0
23,2021-05-13 21:14:42,Maharashtra,5269292,4654731,78857,533294,42582.0
24,2021-05-14 21:29:59,Maharashtra,5309215,4707980,79552,519254,39923.0
25,2021-05-15 21:15:43,Maharashtra,5342839,4766152,80471,493750,33624.0
26,2021-05-15 21:44:41,Maharashtra,5344063,4767053,80512,494032,1224.0
27,2021-05-16 21:14:05,Maharashtra,5378452,4826371,81486,468109,34389.0
28,2021-05-17 21:46:10,Maharashtra,5405068,4874582,82486,445495,26616.0
29,2021-05-18 20:37:13,Maharashtra,5421059,4907746,83406,427387,15991.0
30,2021-05-18 20:56:53,Maharashtra,5433506,4927480,83777,419727,12447.0
31,2021-05-19 20:42:24,Maharashtra,5467537,4978937,84371,401695,34031.0
32,2021-05-23 14:38:52,Maharashtra,5553225,5111095,87300,352247,85688.0
33,2021-05-23 20:40:19,Maharashtra,5571022,5129064,88194,351165,17797.0
34,2021-05-23 22:18:44,Maharashtra,5579897,5140272,88620,348395,8875.0
35,2021-05-24 21:48:37,Maharashtra,5602019,5182592,89212,327580,22122.0
36,2021-05-25 20:51:07,Maharashtra,5626155,5217801,90334,315350,24136.0
37,2021-05-25 21:29:22,Maharashtra,5626155,5218768,90349,314368,0.0
38,2021-05-26 21:45:02,Maharashtra,5650907,5241833,91341,315042,24752.0
39,2021-05-27 21:31:18,Maharashtra,5671997,5275211,92184,301899,21090.0
40,2021-05-27 22:13:53,Maharashtra,5672180,5276203,92225,301041,183.0
41,2021-05-28 20:43:01,Maharashtra,5692920,5307874,93198,289088,20740.0
42,2021-05-29 20:57:59,Maharashtra,5713215,5339838,94030,276573,20295.0
43,2021-05-30 20:54:29,Maharashtra,5731815,5362370,94844,271801,18600.0
44,2021-05-31 20:53:27,Maharashtra,5746892,5395370,95344,253367,15077.0
45,2021-06-01 20:40:26,Maharashtra,5761015,5431319,96198,230681,14123.0
46,2021-06-02 20:43:06,Maharashtra,5776184,5460589,96751,216016,15169.0
47,2021-06-03 21:00:13,Maharashtra,5791413,5486206,97083,205285,15229.0
48,2021-06-03 21:54:36,Maharashtra,5791413,5486206,97394,204974,0.0
49,2021-06-04 23:32:21,Maharashtra,5805565,5507058,98771,196894,14152.0
50,2021-06-05 20:40:34,Maharashtra,5819224,5528834,99512,188027,13659.0
51,2021-06-06 20:51:44,Maharashtra,5831781,5543267,100130,185528,12557.0
52,2021-06-06 21:44:53,Maharashtra,5831781,5543267,100130,185527,0.0
53,2021-06-08 00:13:12,Maharashtra,5842000,5564348,100470,174320,10219.0
54,2021-06-08 20:08:57,Maharashtra,5852891,5580925,101172,167927,10891.0
55,2021-06-09 19:45:58,Maharashtra,5863880,5597304,101833,161864,10989.0
56,2021-06-10 22:21:45,Maharashtra,5876087,5608753,103748,160693,12207.0
57,2021-06-11 21:59:14,Maharashtra,5887853,5616857,106367,161704,11766.0
58,2021-06-12 22:46:44,Maharashtra,5898550,5631767,108333,155474,10697.0
59,2021-06-13 21:52:28,Maharashtra,5908992,5639271,111104,155588,10442.0
