,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:52:26,Arunachal Pradesh,17186,16851,56,279,
1,2021-04-23 08:31:51,Arunachal Pradesh,17296,16860,56,380,110.0
2,2021-04-23 23:24:18,Arunachal Pradesh,17430,16921,56,453,134.0
3,2021-04-24 22:30:17,Arunachal Pradesh,17546,16940,56,550,116.0
4,2021-04-25 23:23:36,Arunachal Pradesh,17607,16968,58,581,61.0
5,2021-04-26 23:24:12,Arunachal Pradesh,17775,16993,58,724,168.0
6,2021-04-27 22:30:31,Arunachal Pradesh,17898,17023,58,817,123.0
7,2021-04-27 23:24:56,Arunachal Pradesh,17898,17021,58,819,0.0
8,2021-04-28 22:33:18,Arunachal Pradesh,18063,17025,58,980,165.0
9,2021-04-28 23:28:08,Arunachal Pradesh,18063,17038,58,967,0.0
10,2021-04-29 23:18:42,Arunachal Pradesh,18257,17085,59,1113,194.0
11,2021-04-30 22:26:59,Arunachal Pradesh,18420,17134,59,1227,163.0
12,2021-05-01 22:25:24,Arunachal Pradesh,18637,17190,59,1388,217.0
13,2021-05-03 11:14:14,Arunachal Pradesh,18739,17273,59,1407,102.0
14,2021-05-03 23:21:24,Arunachal Pradesh,18959,17363,59,1537,220.0
15,2021-05-04 23:52:11,Arunachal Pradesh,19193,17501,59,1633,234.0
16,2021-05-06 12:35:55,Arunachal Pradesh,19413,17577,59,1777,220.0
17,2021-05-07 10:34:01,Arunachal Pradesh,19635,17716,59,1860,222.0
18,2021-05-07 23:14:55,Arunachal Pradesh,19804,17848,60,1896,169.0
19,2021-05-08 23:52:33,Arunachal Pradesh,20048,17983,60,2005,244.0
20,2021-05-09 22:24:15,Arunachal Pradesh,20167,18159,60,1948,119.0
21,2021-05-09 23:13:29,Arunachal Pradesh,20167,18171,60,1936,0.0
22,2021-05-10 23:57:51,Arunachal Pradesh,20372,18350,64,1958,205.0
23,2021-05-12 10:41:56,Arunachal Pradesh,20575,18583,68,1924,203.0
24,2021-05-13 10:16:31,Arunachal Pradesh,20854,18691,69,2094,279.0
25,2021-05-14 10:49:49,Arunachal Pradesh,21110,18871,72,2167,256.0
26,2021-05-14 23:22:44,Arunachal Pradesh,21373,19094,77,2202,263.0
27,2021-05-15 23:20:22,Arunachal Pradesh,21622,19293,78,2251,249.0
28,2021-05-16 23:22:59,Arunachal Pradesh,21802,19461,78,2263,180.0
29,2021-05-18 00:07:39,Arunachal Pradesh,22106,19675,85,2346,304.0
30,2021-05-19 00:09:52,Arunachal Pradesh,22462,19977,88,2397,356.0
31,2021-05-19 12:50:45,Arunachal Pradesh,22462,19977,87,2398,0.0
32,2021-05-23 14:43:28,Arunachal Pradesh,23867,20836,95,2936,1405.0
33,2021-05-24 12:43:58,Arunachal Pradesh,24093,21096,98,2899,226.0
34,2021-05-25 11:02:20,Arunachal Pradesh,24573,21344,102,3127,480.0
35,2021-05-26 10:00:30,Arunachal Pradesh,25002,21575,104,3323,429.0
36,2021-05-26 23:32:45,Arunachal Pradesh,25376,21765,107,3504,374.0
37,2021-05-28 09:39:26,Arunachal Pradesh,25820,22019,109,3692,444.0
38,2021-05-29 10:40:33,Arunachal Pradesh,26317,22352,111,3854,497.0
39,2021-05-30 10:24:53,Arunachal Pradesh,26778,22746,114,3918,461.0
40,2021-05-30 21:48:07,Arunachal Pradesh,26950,22746,114,4090,172.0
41,2021-05-30 23:12:05,Arunachal Pradesh,26950,23052,115,3783,0.0
42,2021-06-01 00:14:06,Arunachal Pradesh,27272,23402,115,3755,322.0
43,2021-06-02 10:00:56,Arunachal Pradesh,27642,23754,116,3772,370.0
44,2021-06-03 12:49:33,Arunachal Pradesh,28018,24083,118,3817,376.0
45,2021-06-03 22:56:22,Arunachal Pradesh,28382,24420,119,3843,364.0
46,2021-06-05 11:23:22,Arunachal Pradesh,28786,24835,122,3829,404.0
47,2021-06-05 23:41:26,Arunachal Pradesh,29113,25237,123,3753,327.0
48,2021-06-06 22:50:45,Arunachal Pradesh,29336,25618,125,3593,223.0
49,2021-06-08 08:37:52,Arunachal Pradesh,29696,26131,125,3440,360.0
50,2021-06-08 22:49:51,Arunachal Pradesh,30000,26569,126,3305,304.0
51,2021-06-10 08:38:39,Arunachal Pradesh,30247,26848,128,3271,247.0
52,2021-06-11 09:11:31,Arunachal Pradesh,30492,27150,133,3209,245.0
53,2021-06-11 22:14:49,Arunachal Pradesh,30850,27438,138,3274,358.0
54,2021-06-12 22:48:04,Arunachal Pradesh,31148,27818,143,3187,298.0
55,2021-06-13 22:29:40,Arunachal Pradesh,31282,28252,145,2885,134.0
56,2021-06-15 08:08:58,Arunachal Pradesh,31648,28608,151,2889,366.0
57,2021-06-16 08:35:43,Arunachal Pradesh,31938,28934,155,2849,290.0
58,2021-06-17 08:35:28,Arunachal Pradesh,32188,29223,155,2810,250.0
59,2021-06-18 08:09:22,Arunachal Pradesh,32483,29612,158,2713,295.0
60,2021-06-19 09:45:34,Arunachal Pradesh,32692,29934,159,2599,209.0
