,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:52:34,Nagaland,12800,12116,94,384,
1,2021-04-23 21:15:36,Nagaland,12889,12117,94,456,89.0
2,2021-04-24 21:41:32,Nagaland,13003,12117,94,559,114.0
3,2021-04-24 22:30:24,Nagaland,13003,12117,95,555,0.0
4,2021-04-25 19:03:40,Nagaland,13183,12132,95,720,180.0
5,2021-04-25 20:10:32,Nagaland,13183,12132,98,679,0.0
6,2021-04-26 19:07:14,Nagaland,13238,12135,98,731,55.0
7,2021-04-26 20:45:20,Nagaland,13238,12135,98,727,0.0
8,2021-04-27 20:12:53,Nagaland,13445,12151,98,918,207.0
9,2021-04-28 20:12:53,Nagaland,13569,12183,98,1010,124.0
10,2021-04-28 22:33:23,Nagaland,13569,12183,100,952,0.0
11,2021-04-29 21:15:07,Nagaland,13750,12212,100,1072,181.0
12,2021-04-30 20:10:50,Nagaland,13976,12224,100,1286,226.0
13,2021-04-30 20:33:14,Nagaland,13976,12224,104,1261,0.0
14,2021-05-01 21:12:10,Nagaland,14134,12268,107,1353,158.0
15,2021-05-02 21:42:05,Nagaland,14350,12295,109,1529,216.0
16,2021-05-03 22:27:20,Nagaland,14451,12325,115,1584,101.0
17,2021-05-04 21:11:50,Nagaland,14717,12357,115,1818,266.0
18,2021-05-05 22:25:45,Nagaland,15004,12390,118,2038,287.0
19,2021-05-06 23:17:50,Nagaland,15271,12428,118,2267,267.0
20,2021-05-07 10:34:07,Nagaland,15271,12428,121,2245,0.0
21,2021-05-07 22:24:45,Nagaland,15580,12540,122,2433,309.0
22,2021-05-08 22:23:19,Nagaland,15913,12559,137,2711,333.0
23,2021-05-09 21:10:52,Nagaland,16150,12687,140,2809,237.0
24,2021-05-10 19:30:46,Nagaland,16283,12734,140,2895,133.0
25,2021-05-10 20:34:03,Nagaland,16283,12734,140,2894,0.0
26,2021-05-10 21:33:01,Nagaland,16283,12734,150,2884,0.0
27,2021-05-12 10:42:01,Nagaland,16552,12779,156,3081,269.0
28,2021-05-12 23:22:49,Nagaland,16890,12877,165,3297,338.0
29,2021-05-13 21:44:40,Nagaland,17256,12968,165,3572,366.0
30,2021-05-13 22:29:54,Nagaland,17256,12968,177,3551,0.0
31,2021-05-14 22:29:48,Nagaland,17531,13034,177,3760,275.0
32,2021-05-15 13:19:21,Nagaland,17531,13034,190,3741,0.0
33,2021-05-15 21:44:23,Nagaland,17835,13087,196,3985,304.0
34,2021-05-16 22:30:40,Nagaland,18076,13195,209,4100,241.0
35,2021-05-17 21:13:56,Nagaland,18349,13299,216,4253,273.0
36,2021-05-18 20:56:38,Nagaland,18714,13491,216,4426,365.0
37,2021-05-18 21:43:02,Nagaland,18714,13491,228,4407,0.0
38,2021-05-19 20:46:18,Nagaland,18958,13706,234,4426,244.0
39,2021-05-23 14:43:48,Nagaland,19845,14363,271,4607,887.0
40,2021-05-23 19:14:08,Nagaland,20068,14500,271,4693,223.0
41,2021-05-23 20:43:48,Nagaland,20068,14500,285,4678,0.0
42,2021-05-24 21:15:09,Nagaland,20259,14637,285,4726,191.0
43,2021-05-25 16:41:38,Nagaland,20259,14637,286,4725,0.0
