,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:46:18,Rajasthan,467875,357329,3389,107157,
1,2021-04-23 19:04:22,Rajasthan,483273,362526,3453,117294,15398.0
2,2021-04-24 19:04:03,Rajasthan,498628,367485,3527,127616,15355.0
3,2021-04-25 19:29:59,Rajasthan,514437,374134,3601,136702,15809.0
4,2021-04-26 19:07:47,Rajasthan,530875,380550,3685,146640,16438.0
5,2021-04-27 19:40:44,Rajasthan,546964,387976,3806,155182,16089.0
6,2021-04-28 19:07:54,Rajasthan,563577,396279,3926,163372,16613.0
7,2021-04-29 19:31:49,Rajasthan,580846,407243,4084,169519,17269.0
8,2021-04-30 19:30:32,Rajasthan,598001,417277,4239,176485,17155.0
9,2021-05-01 20:08:21,Rajasthan,615653,428953,4399,182301,17652.0
10,2021-05-02 19:43:48,Rajasthan,633951,440218,4558,189175,18298.0
11,2021-05-02 20:10:36,Rajasthan,633951,440215,4558,189178,0.0
12,2021-05-03 20:10:50,Rajasthan,651247,452161,4712,194374,17296.0
13,2021-05-03 23:20:55,Rajasthan,651247,452164,4712,194371,0.0
14,2021-05-04 19:31:18,Rajasthan,668221,466310,4866,197045,16974.0
15,2021-05-05 22:24:59,Rajasthan,685036,483332,5021,196683,16815.0
16,2021-05-06 19:30:20,Rajasthan,702568,499376,5182,198010,17532.0
17,2021-05-07 19:30:42,Rajasthan,720799,516306,5346,199147,18231.0
18,2021-05-08 20:30:08,Rajasthan,738786,533973,5506,199307,17987.0
19,2021-05-09 20:29:23,Rajasthan,756707,550853,5665,200189,17921.0
20,2021-05-10 19:31:29,Rajasthan,773194,564352,5825,203017,16487.0
21,2021-05-12 10:40:51,Rajasthan,789274,577550,5994,205730,16080.0
22,2021-05-12 20:17:14,Rajasthan,805658,590390,6158,209110,16384.0
23,2021-05-13 21:14:57,Rajasthan,819765,603319,6317,210129,14107.0
24,2021-05-13 21:45:11,Rajasthan,821525,603319,6317,211889,1760.0
25,2021-05-14 21:30:12,Rajasthan,835814,616589,6472,212753,14289.0
26,2021-05-15 20:36:59,Rajasthan,849379,634070,6621,208688,13565.0
27,2021-05-16 20:47:43,Rajasthan,859669,658510,6777,194382,10290.0
28,2021-05-17 19:44:38,Rajasthan,871266,687969,6934,176363,11597.0
29,2021-05-18 19:35:59,Rajasthan,879664,713129,7080,159455,8398.0
30,2021-05-19 20:43:46,Rajasthan,889513,729168,7219,153126,9849.0
31,2021-05-23 14:40:27,Rajasthan,909521,779601,7590,122330,20008.0
