,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:46:06,Uttar Pradesh,976765,706414,10541,259810,
1,2021-04-23 19:04:16,Uttar Pradesh,1013370,728980,10737,273653,36605.0
2,2021-04-24 18:22:16,Uttar Pradesh,1051314,752211,10959,288144,37944.0
3,2021-04-25 19:04:10,Uttar Pradesh,1086625,777844,11165,297616,35311.0
4,2021-04-26 20:44:38,Uttar Pradesh,1120176,804563,11414,304199,33551.0
5,2021-04-27 19:40:34,Uttar Pradesh,1153097,834961,11678,306458,32921.0
6,2021-04-28 19:33:40,Uttar Pradesh,1182848,870864,11943,300041,29751.0
7,2021-04-29 18:58:23,Uttar Pradesh,1217952,896477,12238,309237,35104.0
8,2021-04-30 21:41:35,Uttar Pradesh,1252324,928971,12570,310783,34372.0
9,2021-05-01 20:34:56,Uttar Pradesh,1282504,967797,12874,301833,30180.0
10,2021-05-02 20:10:27,Uttar Pradesh,1313361,1004447,13162,295752,30857.0
11,2021-05-03 19:02:24,Uttar Pradesh,1342413,1043134,13447,285832,29052.0
12,2021-05-04 19:31:12,Uttar Pradesh,1361075,1075354,13766,271955,18662.0
13,2021-05-04 19:43:46,Uttar Pradesh,1367478,1080504,13798,273176,6403.0
14,2021-05-04 20:35:41,Uttar Pradesh,1368183,1081817,13798,272568,705.0
15,2021-05-05 22:24:52,Uttar Pradesh,1399294,1122669,14151,262474,31111.0
16,2021-05-06 18:19:38,Uttar Pradesh,1425916,1151571,14501,259844,26622.0
17,2021-05-07 20:32:07,Uttar Pradesh,1453679,1184688,14873,254118,27763.0
18,2021-05-08 19:28:58,Uttar Pradesh,1477866,1217236,15150,245480,24187.0
19,2021-05-08 20:29:56,Uttar Pradesh,1478226,1217722,15159,245345,360.0
20,2021-05-08 20:39:53,Uttar Pradesh,1479556,1219409,15170,244977,1330.0
21,2021-05-08 20:59:23,Uttar Pradesh,1479528,1219409,15170,244949,-28.0
22,2021-05-08 21:11:23,Uttar Pradesh,1480315,1219409,15170,245736,787.0
23,2021-05-09 20:29:16,Uttar Pradesh,1503490,1254045,15464,233981,23175.0
24,2021-05-10 20:44:17,Uttar Pradesh,1524388,1282951,15739,225698,20898.0
25,2021-05-10 21:32:12,Uttar Pradesh,1524767,1283754,15742,225271,379.0
26,2021-05-12 10:40:40,Uttar Pradesh,1545212,1313112,16043,216057,20445.0
27,2021-05-13 10:15:56,Uttar Pradesh,1563235,1340251,16369,206615,18023.0
28,2021-05-13 17:08:20,Uttar Pradesh,1580980,1359676,16646,204658,17745.0
29,2021-05-14 22:30:22,Uttar Pradesh,1596627,1385855,16957,193815,15647.0
30,2021-05-15 18:58:18,Uttar Pradesh,1606892,1409452,17163,180277,10265.0
31,2021-05-15 19:29:55,Uttar Pradesh,1609140,1414259,17238,177643,2248.0
32,2021-05-16 20:47:34,Uttar Pradesh,1619645,1439096,17546,163003,10505.0
33,2021-05-17 19:08:58,Uttar Pradesh,1628990,1462141,17817,149032,9345.0
34,2021-05-18 19:05:10,Uttar Pradesh,1637663,1483249,18072,136342,8673.0
35,2021-05-19 20:43:17,Uttar Pradesh,1644849,1502918,18352,123579,7186.0
36,2021-05-23 14:39:56,Uttar Pradesh,1665176,1551716,18978,94482,20327.0
37,2021-05-23 19:11:49,Uttar Pradesh,1669891,1565802,19209,84880,4715.0
38,2021-05-24 19:50:29,Uttar Pradesh,1673785,1577720,19362,76703,3894.0
39,2021-05-25 21:29:37,Uttar Pradesh,1677508,1588161,19519,69828,3723.0
40,2021-05-26 21:45:23,Uttar Pradesh,1680684,1598701,19712,62271,3176.0
41,2021-05-27 22:14:08,Uttar Pradesh,1683880,1605693,19899,58288,3196.0
42,2021-05-28 09:38:36,Uttar Pradesh,1683862,1605696,19899,58267,-18.0
43,2021-05-28 22:04:08,Uttar Pradesh,1686138,1613841,20053,52244,2276.0
44,2021-05-29 19:22:13,Uttar Pradesh,1685214,1619858,20173,45183,-924.0
