,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:52:10,Puducherry,50580,43931,726,5923,
1,2021-04-23 12:47:54,Puducherry,51372,44314,728,6330,792.0
2,2021-04-24 12:36:37,Puducherry,52271,44767,737,6767,899.0
3,2021-04-25 12:45:59,Puducherry,53279,45243,748,7288,1008.0
4,2021-04-26 12:49:05,Puducherry,54026,45758,758,7510,747.0
5,2021-04-27 12:46:37,Puducherry,55047,46448,771,7828,1021.0
6,2021-04-28 14:41:59,Puducherry,56305,47080,781,8444,1258.0
7,2021-04-29 17:30:39,Puducherry,57427,47645,793,8989,1122.0
8,2021-05-01 00:52:01,Puducherry,58622,48298,805,9519,1195.0
9,2021-05-01 13:12:29,Puducherry,60001,48921,817,10263,1379.0
10,2021-05-02 19:44:07,Puducherry,61361,49908,833,10620,1360.0
11,2021-05-03 12:47:09,Puducherry,62160,50698,848,10614,799.0
12,2021-05-04 12:45:49,Puducherry,63298,51584,865,10849,1138.0
13,2021-05-05 13:11:59,Puducherry,65117,52517,883,11717,1819.0
14,2021-05-06 15:37:56,Puducherry,66627,53296,901,12430,1510.0
15,2021-05-07 19:44:21,Puducherry,68373,54375,920,13078,1746.0
16,2021-05-08 17:38:58,Puducherry,70076,55552,939,13585,1703.0
17,2021-05-09 23:13:16,Puducherry,71709,56710,965,14034,1633.0
18,2021-05-10 21:32:48,Puducherry,72975,57818,988,14169,1266.0
19,2021-05-11 16:10:18,Puducherry,75024,59177,1018,14829,2049.0
20,2021-05-12 14:14:40,Puducherry,77031,60424,1045,15562,2007.0
21,2021-05-13 12:54:45,Puducherry,78973,61336,1069,16568,1942.0
22,2021-05-14 19:40:43,Puducherry,80947,62424,1099,17424,1974.0
23,2021-05-15 18:57:42,Puducherry,82545,64198,1119,17228,1598.0
24,2021-05-16 20:46:47,Puducherry,84506,65689,1151,17666,1961.0
25,2021-05-17 13:29:40,Puducherry,85952,67390,1179,17383,1446.0
26,2021-05-18 12:48:58,Puducherry,87749,69060,1212,17477,1797.0
27,2021-05-19 12:50:35,Puducherry,89508,70615,1241,17652,1759.0
28,2021-05-23 14:42:48,Puducherry,96060,77850,1359,16851,6552.0
