,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:52:10,Puducherry,50580,43931,726,5923,
1,2021-04-23 12:47:54,Puducherry,51372,44314,728,6330,792.0
2,2021-04-24 12:36:37,Puducherry,52271,44767,737,6767,899.0
3,2021-04-25 12:45:59,Puducherry,53279,45243,748,7288,1008.0
4,2021-04-26 12:49:05,Puducherry,54026,45758,758,7510,747.0
5,2021-04-27 12:46:37,Puducherry,55047,46448,771,7828,1021.0
6,2021-04-28 14:41:59,Puducherry,56305,47080,781,8444,1258.0
7,2021-04-29 17:30:39,Puducherry,57427,47645,793,8989,1122.0
8,2021-05-01 00:52:01,Puducherry,58622,48298,805,9519,1195.0
9,2021-05-01 13:12:29,Puducherry,60001,48921,817,10263,1379.0
10,2021-05-02 19:44:07,Puducherry,61361,49908,833,10620,1360.0
11,2021-05-03 12:47:09,Puducherry,62160,50698,848,10614,799.0
12,2021-05-04 12:45:49,Puducherry,63298,51584,865,10849,1138.0
13,2021-05-05 13:11:59,Puducherry,65117,52517,883,11717,1819.0
14,2021-05-06 15:37:56,Puducherry,66627,53296,901,12430,1510.0
15,2021-05-07 19:44:21,Puducherry,68373,54375,920,13078,1746.0
16,2021-05-08 17:38:58,Puducherry,70076,55552,939,13585,1703.0
17,2021-05-09 23:13:16,Puducherry,71709,56710,965,14034,1633.0
18,2021-05-10 21:32:48,Puducherry,72975,57818,988,14169,1266.0
19,2021-05-11 16:10:18,Puducherry,75024,59177,1018,14829,2049.0
20,2021-05-12 14:14:40,Puducherry,77031,60424,1045,15562,2007.0
21,2021-05-13 12:54:45,Puducherry,78973,61336,1069,16568,1942.0
22,2021-05-14 19:40:43,Puducherry,80947,62424,1099,17424,1974.0
23,2021-05-15 18:57:42,Puducherry,82545,64198,1119,17228,1598.0
24,2021-05-16 20:46:47,Puducherry,84506,65689,1151,17666,1961.0
25,2021-05-17 13:29:40,Puducherry,85952,67390,1179,17383,1446.0
26,2021-05-18 12:48:58,Puducherry,87749,69060,1212,17477,1797.0
27,2021-05-19 12:50:35,Puducherry,89508,70615,1241,17652,1759.0
28,2021-05-23 14:42:48,Puducherry,96060,77850,1359,16851,6552.0
29,2021-05-24 14:50:20,Puducherry,96982,79765,1382,15835,922.0
30,2021-05-25 12:47:43,Puducherry,98219,81336,1408,15475,1237.0
31,2021-05-26 16:42:26,Puducherry,99540,83263,1435,14842,1321.0
32,2021-05-27 13:01:34,Puducherry,100677,84749,1455,14473,1137.0
33,2021-05-28 14:05:54,Puducherry,101900,86528,1476,13896,1223.0
34,2021-05-29 14:17:16,Puducherry,102896,88246,1497,13153,996.0
35,2021-05-30 14:04:50,Puducherry,103826,90141,1518,12167,930.0
36,2021-05-31 13:17:54,Puducherry,104453,91770,1536,11147,627.0
37,2021-06-01 14:27:57,Puducherry,105432,93173,1550,10709,979.0
38,2021-06-03 12:49:21,Puducherry,106299,94566,1567,10166,867.0
39,2021-06-03 14:32:32,Puducherry,107114,95516,1583,10015,815.0
40,2021-06-04 16:36:17,Puducherry,107826,96731,1601,9494,712.0
41,2021-06-05 13:49:15,Puducherry,108439,98043,1613,8783,613.0
42,2021-06-06 17:17:57,Puducherry,109079,99181,1628,8270,640.0
43,2021-06-07 13:31:09,Puducherry,109561,100377,1638,7546,482.0
44,2021-06-08 13:03:50,Puducherry,110106,101315,1644,7147,545.0
45,2021-06-09 12:40:05,Puducherry,110748,102247,1648,6853,642.0
46,2021-06-10 13:01:24,Puducherry,111255,102893,1657,6705,507.0
47,2021-06-11 13:05:31,Puducherry,111684,103860,1668,6156,429.0
48,2021-06-12 12:16:55,Puducherry,112126,104704,1677,5745,442.0
49,2021-06-13 13:21:39,Puducherry,112528,105513,1684,5331,402.0
50,2021-06-14 12:42:57,Puducherry,112837,106199,1691,4947,309.0
51,2021-06-15 12:23:10,Puducherry,113192,106828,1696,4668,355.0
52,2021-06-16 14:51:04,Puducherry,113622,107425,1702,4495,430.0
53,2021-06-17 12:31:04,Puducherry,113948,107905,1710,4333,326.0
54,2021-06-18 12:35:33,Puducherry,114301,108462,1714,4125,353.0
55,2021-06-19 12:17:45,Puducherry,114596,109083,1720,3793,295.0
56,2021-06-20 15:57:46,Puducherry,114847,109562,1723,3562,251.0
57,2021-06-20 22:44:51,Puducherry,114596,109083,1720,3793,-251.0
58,2021-06-20 23:01:02,Puducherry,114847,109562,1723,3562,251.0
59,2021-06-21 13:13:26,Puducherry,115080,109990,1726,3364,233.0
60,2021-06-22 12:47:04,Puducherry,115364,110423,1727,3214,284.0
61,2021-06-23 16:41:01,Puducherry,115627,110838,1731,3058,263.0
62,2021-06-24 15:50:03,Puducherry,115925,111114,1734,3077,298.0
63,2021-06-25 12:57:33,Puducherry,116186,111477,1739,2970,261.0
64,2021-06-26 17:20:49,Puducherry,116414,111898,1741,2775,228.0
65,2021-06-27 19:22:09,Puducherry,116645,112229,1744,2672,231.0
66,2021-06-28 12:24:26,Puducherry,116789,112565,1745,2479,144.0
67,2021-06-29 12:27:19,Puducherry,116985,112892,1748,2345,196.0
68,2021-06-30 13:05:18,Puducherry,117249,113146,1749,2354,264.0
69,2021-07-01 12:55:03,Puducherry,117465,113373,1751,2341,216.0
70,2021-07-02 16:41:34,Puducherry,117640,113649,1759,2232,175.0
71,2021-07-03 21:20:39,Puducherry,117787,113920,1760,2107,147.0
72,2021-07-04 23:36:23,Puducherry,117959,114192,1761,2006,172.0
73,2021-07-05 18:32:23,Puducherry,118087,114454,1762,1871,128.0
74,2021-07-06 13:24:00,Puducherry,118227,114673,1763,1791,140.0
75,2021-07-07 12:18:33,Puducherry,118416,114898,1765,1753,189.0
76,2021-07-08 11:37:14,Puducherry,118227,114673,1763,1791,-189.0
77,2021-07-08 11:50:31,Puducherry,118416,114898,1765,1753,189.0
78,2021-07-08 12:46:04,Puducherry,118571,115042,1767,1762,155.0
79,2021-07-09 17:42:50,Puducherry,118697,115234,1768,1695,126.0
80,2021-07-10 20:08:32,Puducherry,118831,115489,1769,1573,134.0
81,2021-07-11 17:57:03,Puducherry,118976,115702,1769,1505,145.0
82,2021-07-12 16:48:33,Puducherry,119057,115873,1771,1413,81.0
83,2021-07-13 17:13:46,Puducherry,119181,116026,1771,1384,124.0
84,2021-07-14 19:09:43,Puducherry,119302,116203,1772,1327,121.0
85,2021-07-15 19:52:33,Puducherry,119405,116325,1773,1307,103.0
86,2021-07-16 21:10:00,Puducherry,119509,116486,1775,1248,104.0
87,2021-07-17 20:17:59,Puducherry,119603,116657,1776,1170,94.0
88,2021-07-18 18:33:52,Puducherry,119703,116801,1778,1124,100.0
89,2021-07-19 19:05:17,Puducherry,119745,116926,1778,1041,42.0
90,2021-07-20 18:57:27,Puducherry,119823,117054,1781,988,78.0
91,2021-07-21 20:44:29,Puducherry,119935,117193,1781,961,112.0
92,2021-07-22 19:41:57,Puducherry,120003,117265,1783,955,68.0
93,2021-07-23 20:04:29,Puducherry,120101,117397,1786,918,98.0
94,2021-07-24 12:29:34,Puducherry,120227,117518,1787,922,126.0
