,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:46:46,Assam,229138,217593,1150,9048,
1,2021-04-22 23:30:03,Assam,231069,217991,1160,10571,1931.0
2,2021-04-23 23:24:58,Assam,233453,218339,1172,12595,2384.0
3,2021-04-24 23:24:51,Assam,235689,218958,1186,14198,2236.0
4,2021-04-26 11:33:17,Assam,237533,219516,1200,15470,1844.0
5,2021-04-26 23:25:02,Assam,240670,220344,1215,17764,3137.0
6,2021-04-27 23:24:37,Assam,243802,221299,1233,19923,3132.0
7,2021-04-28 23:27:50,Assam,246847,222397,1255,21848,3045.0
8,2021-04-29 22:28:05,Assam,249926,224194,1281,23104,3079.0
9,2021-04-30 22:26:44,Assam,253123,226643,1307,23826,3197.0
10,2021-05-01 23:16:19,Assam,256576,228872,1330,25027,3453.0
11,2021-05-03 11:13:53,Assam,258961,231703,1360,24551,2385.0
12,2021-05-03 22:28:10,Assam,263450,234237,1389,26477,4489.0
13,2021-05-04 22:22:26,Assam,267925,237088,1430,28060,4475.0
14,2021-05-05 22:16:40,Assam,272751,237088,1430,32886,4826.0
15,2021-05-05 22:25:16,Assam,272751,240004,1485,29915,0.0
16,2021-05-06 22:26:51,Assam,277687,242980,1531,31829,4936.0
17,2021-05-07 23:14:40,Assam,283313,246242,1578,34146,5626.0
18,2021-05-08 23:52:15,Assam,289069,249295,1628,36799,5756.0
19,2021-05-09 21:38:23,Assam,292368,253340,1676,36005,3299.0
20,2021-05-10 23:57:36,Assam,298171,257571,1753,37500,5803.0
21,2021-05-12 10:41:19,Assam,304429,261980,1838,39264,6258.0
22,2021-05-13 10:16:13,Assam,310086,265860,1909,40970,5657.0
23,2021-05-13 23:22:31,Assam,315554,270079,1984,42144,5468.0
24,2021-05-14 22:29:27,Assam,319630,274247,2060,41976,4076.0
25,2021-05-15 22:31:19,Assam,324977,277501,2123,44006,5347.0
26,2021-05-15 23:20:06,Assam,324979,277501,2123,44008,2.0
27,2021-05-16 22:31:18,Assam,328629,281726,2179,43377,3650.0
28,2021-05-17 22:30:13,Assam,335023,286463,2271,44942,6394.0
29,2021-05-19 00:09:33,Assam,340858,290774,2344,46393,5835.0
30,2021-05-19 21:45:43,Assam,347001,294831,2433,48390,6143.0
31,2021-05-23 14:41:37,Assam,365620,307548,2667,54058,18619.0
