,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:52:30,Meghalaya,15488,14198,157,1133,
1,2021-04-23 20:33:08,Meghalaya,15631,14236,157,1238,143.0
2,2021-04-24 22:30:20,Meghalaya,15786,14384,158,1244,155.0
3,2021-04-25 19:30:29,Meghalaya,15994,14446,160,1388,208.0
4,2021-04-26 19:07:09,Meghalaya,16124,14560,161,1403,130.0
5,2021-04-27 22:30:35,Meghalaya,16271,14650,165,1456,147.0
6,2021-04-28 14:42:10,Meghalaya,16430,14788,167,1475,159.0
7,2021-04-29 17:30:50,Meghalaya,16617,14917,169,1531,187.0
8,2021-04-30 19:30:02,Meghalaya,16846,15083,171,1592,229.0
9,2021-05-01 22:25:29,Meghalaya,17108,15275,174,1659,262.0
10,2021-05-02 19:44:18,Meghalaya,17429,15429,179,1821,321.0
11,2021-05-03 18:21:08,Meghalaya,17675,15606,185,1884,246.0
12,2021-05-04 18:54:04,Meghalaya,18014,15810,185,2019,339.0
13,2021-05-05 17:39:51,Meghalaya,18283,15957,191,2135,269.0
14,2021-05-06 16:46:00,Meghalaya,18630,16086,193,2351,347.0
15,2021-05-07 18:17:50,Meghalaya,18927,16262,199,2466,297.0
16,2021-05-08 17:29:10,Meghalaya,19302,16414,210,2678,375.0
17,2021-05-09 16:34:40,Meghalaya,19720,16593,228,2899,418.0
18,2021-05-10 17:29:46,Meghalaya,20129,16834,233,3062,409.0
19,2021-05-11 16:10:27,Meghalaya,20579,17040,242,3297,450.0
20,2021-05-12 14:14:51,Meghalaya,20985,17354,250,3381,406.0
21,2021-05-13 19:05:21,Meghalaya,21576,17582,268,3726,591.0
22,2021-05-14 19:40:54,Meghalaya,22203,17909,280,4014,627.0
23,2021-05-15 18:57:50,Meghalaya,22763,18124,301,4338,560.0
24,2021-05-16 20:46:58,Meghalaya,23332,18478,320,4534,569.0
25,2021-05-17 19:08:26,Meghalaya,23966,18715,336,4915,634.0
26,2021-05-18 19:05:46,Meghalaya,24872,19185,355,5332,906.0
27,2021-05-19 20:46:08,Meghalaya,25744,19596,379,5769,872.0
28,2021-05-23 14:43:38,Meghalaya,28878,20989,435,7454,3134.0
29,2021-05-23 19:13:58,Meghalaya,29681,21542,457,7682,803.0
30,2021-05-24 18:23:25,Meghalaya,30492,22221,483,7788,811.0
31,2021-05-25 17:16:40,Meghalaya,31449,22976,502,7971,957.0
32,2021-05-26 16:42:42,Meghalaya,32295,23728,512,8055,846.0
33,2021-05-27 17:29:05,Meghalaya,33104,24325,524,8255,809.0
34,2021-05-28 17:00:35,Meghalaya,33835,25266,544,8025,731.0
35,2021-05-29 17:13:07,Meghalaya,34448,26156,551,7741,613.0
36,2021-05-30 19:19:18,Meghalaya,35190,27130,564,7496,742.0
37,2021-05-31 15:57:43,Meghalaya,35598,28107,578,6913,408.0
38,2021-06-01 17:39:03,Meghalaya,36065,28867,592,6606,467.0
39,2021-06-02 16:35:09,Meghalaya,36597,29578,616,6403,532.0
40,2021-06-03 19:35:50,Meghalaya,37149,30172,625,6352,552.0
41,2021-06-04 16:36:34,Meghalaya,37733,30980,643,6110,584.0
42,2021-06-05 20:09:02,Meghalaya,38230,31781,652,5797,497.0
43,2021-06-06 16:06:48,Meghalaya,38718,32471,664,5583,488.0
44,2021-06-07 14:44:48,Meghalaya,39156,33160,669,5327,438.0
45,2021-06-08 20:10:36,Meghalaya,39535,33933,678,4924,379.0
46,2021-06-09 16:51:03,Meghalaya,39983,34440,694,4849,448.0
47,2021-06-10 15:37:52,Meghalaya,40586,34867,704,5015,603.0
48,2021-06-11 15:21:09,Meghalaya,41100,35393,714,4993,514.0
49,2021-06-12 18:29:21,Meghalaya,41601,36003,727,4871,501.0
50,2021-06-13 13:21:55,Meghalaya,41906,36550,733,4623,305.0
51,2021-06-14 18:01:33,Meghalaya,42309,37037,743,4529,403.0
52,2021-06-15 14:38:45,Meghalaya,42759,37579,750,4430,450.0
53,2021-06-16 20:27:12,Meghalaya,43254,38032,758,4464,495.0
54,2021-06-17 15:28:15,Meghalaya,43732,38361,762,4609,478.0
55,2021-06-18 18:32:43,Meghalaya,44382,38792,771,4819,650.0
56,2021-06-19 19:22:53,Meghalaya,44896,39377,776,4743,514.0
57,2021-06-20 15:58:00,Meghalaya,45286,39919,780,4587,390.0
58,2021-06-20 22:45:17,Meghalaya,44896,39377,776,4743,-390.0
59,2021-06-20 23:01:27,Meghalaya,45286,39919,780,4587,390.0
60,2021-06-21 15:38:14,Meghalaya,45555,40574,785,4196,269.0
61,2021-06-22 19:02:01,Meghalaya,45976,40915,788,4273,421.0
62,2021-06-23 16:41:19,Meghalaya,46458,41349,797,4312,482.0
63,2021-06-24 15:40:58,Meghalaya,46878,41647,807,4424,420.0
64,2021-06-25 20:13:14,Meghalaya,47480,42001,814,4665,602.0
65,2021-06-26 17:13:07,Meghalaya,47985,42500,817,4668,505.0
66,2021-06-27 19:22:45,Meghalaya,48447,43070,819,4558,462.0
67,2021-06-28 16:24:32,Meghalaya,48783,43578,827,4378,336.0
68,2021-06-29 19:21:13,Meghalaya,49161,44067,831,4263,378.0
69,2021-06-30 15:10:45,Meghalaya,49513,44459,838,4216,352.0
70,2021-07-01 15:09:32,Meghalaya,50090,44709,844,4537,577.0
71,2021-07-02 16:33:41,Meghalaya,50575,45074,849,4652,485.0
72,2021-07-03 20:34:55,Meghalaya,51035,45596,855,4584,460.0
73,2021-07-05 08:13:55,Meghalaya,51524,46228,862,4434,489.0
74,2021-07-05 18:32:39,Meghalaya,51901,46676,871,4354,377.0
75,2021-07-06 18:56:16,Meghalaya,52358,47173,880,4305,457.0
76,2021-07-07 14:57:30,Meghalaya,52712,47597,886,4229,354.0
77,2021-07-08 11:34:37,Meghalaya,52358,47173,880,4305,-354.0
78,2021-07-08 11:50:56,Meghalaya,52712,47597,886,4229,354.0
79,2021-07-08 15:12:03,Meghalaya,53244,47963,890,4391,532.0
80,2021-07-09 17:43:07,Meghalaya,53670,48380,899,4391,426.0
81,2021-07-10 19:09:49,Meghalaya,54155,48886,906,4363,485.0
82,2021-07-11 17:50:34,Meghalaya,54580,49307,908,4365,425.0
83,2021-07-12 18:00:07,Meghalaya,54853,49830,913,4110,273.0
84,2021-07-13 17:05:46,Meghalaya,55218,50336,918,3964,365.0
85,2021-07-14 18:40:01,Meghalaya,55640,50794,921,3925,422.0
86,2021-07-15 19:23:08,Meghalaya,56052,51132,926,3994,412.0
87,2021-07-16 21:10:35,Meghalaya,56493,51396,931,4166,441.0
88,2021-07-17 19:50:46,Meghalaya,57000,51981,939,4080,507.0
89,2021-07-18 18:43:28,Meghalaya,57388,52464,945,3979,388.0
90,2021-07-19 18:55:57,Meghalaya,57775,52787,955,4033,387.0
91,2021-07-20 18:47:54,Meghalaya,58275,53263,968,4044,500.0
92,2021-07-21 20:15:15,Meghalaya,58833,53638,974,4221,558.0
93,2021-07-22 19:21:42,Meghalaya,59346,53945,988,4413,513.0
94,2021-07-23 19:44:34,Meghalaya,59904,54356,1009,4539,558.0
95,2021-07-24 19:12:52,Meghalaya,60597,54875,1014,4708,693.0
96,2021-07-25 18:26:28,Meghalaya,61194,55163,1024,5007,597.0
97,2021-07-26 18:59:51,Meghalaya,61763,55648,1031,5084,569.0
