,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:46:22,Chhattisgarh,588818,459600,6467,122751,
1,2021-04-23 08:31:25,Chhattisgarh,605568,477339,6674,121555,16750.0
2,2021-04-23 22:30:56,Chhattisgarh,622965,492593,6893,123479,17397.0
3,2021-04-24 23:24:39,Chhattisgarh,639696,509622,7111,122963,16731.0
4,2021-04-25 23:24:07,Chhattisgarh,652362,521217,7310,123835,12666.0
5,2021-04-26 23:24:51,Chhattisgarh,667446,538558,7536,121352,15084.0
6,2021-04-27 23:24:27,Chhattisgarh,682339,555489,7782,119068,14893.0
7,2021-04-28 23:28:39,Chhattisgarh,697902,570995,8061,118846,15563.0
8,2021-04-29 23:19:16,Chhattisgarh,713706,587484,8312,117910,15804.0
9,2021-04-30 23:17:38,Chhattisgarh,728700,601161,8581,118958,14994.0
10,2021-05-01 23:17:10,Chhattisgarh,744602,614693,8810,121099,15902.0
11,2021-05-03 11:13:43,Chhattisgarh,756427,627051,9009,120367,11825.0
12,2021-05-03 23:20:59,Chhattisgarh,771701,641449,9275,120977,15274.0
13,2021-05-04 23:08:52,Chhattisgarh,787486,653542,9485,124459,15785.0
14,2021-05-06 12:35:30,Chhattisgarh,802643,663694,9738,129211,15157.0
15,2021-05-06 22:26:35,Chhattisgarh,816489,675294,9950,131245,13846.0
16,2021-05-07 22:25:13,Chhattisgarh,830117,688918,10158,131041,13628.0
17,2021-05-08 23:52:05,Chhattisgarh,842356,701116,10381,130859,12239.0
18,2021-05-09 23:14:08,Chhattisgarh,851476,714359,10570,126547,9120.0
19,2021-05-11 13:48:31,Chhattisgarh,863343,727497,10742,125104,11867.0
20,2021-05-12 10:40:55,Chhattisgarh,873060,740283,10941,121836,9717.0
21,2021-05-12 23:22:22,Chhattisgarh,883210,749318,11094,122798,10150.0
22,2021-05-14 10:49:24,Chhattisgarh,892331,761592,11289,119450,9121.0
23,2021-05-14 23:22:21,Chhattisgarh,899925,772500,11461,115964,7594.0
24,2021-05-15 23:20:52,Chhattisgarh,907589,785598,11590,110401,7664.0
25,2021-05-16 23:22:37,Chhattisgarh,912477,797150,11734,103593,4888.0
26,2021-05-17 23:23:40,Chhattisgarh,919054,811015,11883,96156,6577.0
27,2021-05-18 21:43:34,Chhattisgarh,925531,823113,12036,90382,6477.0
28,2021-05-19 22:33:01,Chhattisgarh,931211,833161,12182,85868,5680.0
29,2021-05-23 14:40:37,Chhattisgarh,945694,862660,12494,70540,14483.0
30,2021-05-24 12:41:29,Chhattisgarh,949000,870640,12586,65774,3306.0
31,2021-05-25 11:01:30,Chhattisgarh,953162,879355,12645,61162,4162.0
32,2021-05-25 16:40:56,Chhattisgarh,953209,879625,12646,60938,47.0
33,2021-05-25 22:03:02,Chhattisgarh,956715,887518,12723,56474,3506.0
34,2021-05-26 23:32:03,Chhattisgarh,959544,893285,12779,53480,2829.0
35,2021-05-28 09:38:47,Chhattisgarh,962368,900100,12848,49420,2824.0
36,2021-05-29 10:39:52,Chhattisgarh,965208,905361,12915,46932,2840.0
37,2021-05-30 10:24:07,Chhattisgarh,967645,911752,12979,42914,2437.0
